frame,time,timestep,raw_mission_current_index,raw_mission_index_reached,raw_mission_lap_reached,raw_mission_finished,perceived_mission_current_index,perceived_mission_index_reached,perceived_mission_lap_reached,perceived_mission_finished,raw_p,raw_pgx,raw_pgy,raw_pgz,raw_roll,raw_pitch,raw_yaw,raw_forward,raw_left,raw_vgx,raw_vgy,raw_vgz,raw_vlx,raw_vly,raw_vlz,raw_yaw_rate,raw_sensor_roll,raw_sensor_pitch,raw_sensor_yaw,raw_sensor_roll_rate,raw_sensor_pitch_rate,raw_sensor_yaw_rate,raw_sensor_alx,raw_sensor_aly,raw_sensor_alz,raw_sensor_vgx,raw_sensor_vgy,raw_sensor_vgz,raw_sensor_pgx,raw_sensor_pgy,raw_sensor_pgz,perceived_p,perceived_pgx,perceived_pgy,perceived_pgz,perceived_roll,perceived_pitch,perceived_yaw,perceived_forward,perceived_left,perceived_vgx,perceived_vgy,perceived_vgz,perceived_vlx,perceived_vly,perceived_vlz,perceived_yaw_rate,perceived_sensor_roll,perceived_sensor_pitch,perceived_sensor_yaw,perceived_sensor_roll_rate,perceived_sensor_pitch_rate,perceived_sensor_yaw_rate,perceived_sensor_alx,perceived_sensor_aly,perceived_sensor_alz,perceived_sensor_vgx,perceived_sensor_vgy,perceived_sensor_vgz,perceived_sensor_pgx,perceived_sensor_pgy,perceived_sensor_pgz,crashed,m1,m2,m3,m4
0,2.7520000000000002,0.032,0,0.0,0.0,False,0,0.0,0.0,False,"[-4.969443806121939e-17, 4.590412352822378e-16, 0.7829982042721536]",-4.969443806121939e-17,4.590412352822378e-16,0.7829982042721536,5.2529628817112475e-16,3.9346947516833997e-16,-0.3062520139800175,"[0.9534702338164318, -0.30148716925607116, 0.0]","[0.30148716925607116, 0.9534702338164318, 0.0]",-4.998198642593838e-16,3.3779688105274667e-16,1.2942468487471666,-5.784047882936142e-16,1.7138999514630842e-16,0,-0.7656105321269587,5.2529628817112475e-16,3.9346947516833997e-16,-0.3062520139800175,9.832537094639663e-16,4.3893862870667596e-15,-0.7656105321269587,-1.3160548915218977e-15,2.779216500889836e-16,9.345344156589178,-4.998198642593838e-16,3.3779688105274667e-16,1.2942468487471666,-4.969443806121939e-17,4.590412352822378e-16,0.7829982042721536,"[-4.969443806121939e-17, 4.590412352822378e-16, 0.7829982042721536]",-4.969443806121939e-17,4.590412352822378e-16,0.7829982042721536,5.2529628817112475e-16,3.9346947516833997e-16,-0.3062520139800175,"[0.9534702338164318, -0.30148716925607116, 0.0]","[0.30148716925607116, 0.9534702338164318, 0.0]",-4.998198642593838e-16,3.3779688105274667e-16,1.2942468487471666,-5.784047882936142e-16,1.7138999514630842e-16,0,-0.7656105321269587,5.2529628817112475e-16,3.9346947516833997e-16,-0.3062520139800175,9.832537094639663e-16,4.3893862870667596e-15,-0.7656105321269587,-1.3160548915218977e-15,2.779216500889836e-16,9.345344156589178,-4.998198642593838e-16,3.3779688105274667e-16,1.2942468487471666,-4.969443806121939e-17,4.590412352822378e-16,0.7829982042721536,False,53.464394245669595,53.93317318141568,53.464394245669595,53.93317318141568
1,2.7840000000000003,0.032,1,1.0,0.0,False,1,1.0,0.0,False,"[-6.364020639692179e-17, 4.639972484745049e-16, 0.8238176908054843]",-6.364020639692179e-17,4.639972484745049e-16,0.8238176908054843,5.551496886712929e-16,5.465969517520203e-16,-0.3347089788039484,"[0.9445059484357042, -0.32849431253763106, 0.0]","[0.32849431253763106, 0.9445059484357042, 0.0]",-4.358052604907002e-16,1.5487541225834513e-16,1.2756089541665823,-4.624963529718253e-16,3.121198699263174e-18,0,-0.8893401671113553,5.551496886712929e-16,5.465969517520203e-16,-0.3347089788039484,1.3509381822368188e-15,4.304791640440095e-15,-0.8893401671113553,-1.2765457044657611e-15,3.8074333682021227e-16,9.22756579435674,-4.358052604907002e-16,1.5487541225834513e-16,1.2756089541665823,-6.364020639692179e-17,4.639972484745049e-16,0.8238176908054843,"[-6.364020639692179e-17, 4.639972484745049e-16, 0.8238176908054843]",-6.364020639692179e-17,4.639972484745049e-16,0.8238176908054843,5.551496886712929e-16,5.465969517520203e-16,-0.3347089788039484,"[0.9445059484357042, -0.32849431253763106, 0.0]","[0.32849431253763106, 0.9445059484357042, 0.0]",-4.358052604907002e-16,1.5487541225834513e-16,1.2756089541665823,-4.624963529718253e-16,3.121198699263174e-18,0,-0.8893401671113553,5.551496886712929e-16,5.465969517520203e-16,-0.3347089788039484,1.3509381822368188e-15,4.304791640440095e-15,-0.8893401671113553,-1.2765457044657611e-15,3.8074333682021227e-16,9.22756579435674,-4.358052604907002e-16,1.5487541225834513e-16,1.2756089541665823,-6.364020639692179e-17,4.639972484745049e-16,0.8238176908054843,False,53.2731184882236,53.494438154000875,53.27311848822359,53.49443815400089
2,2.816,0.032,2,,,False,2,,,False,"[-7.446789252242337e-17, 4.623800287407102e-16, 0.8639300931603788]",-7.446789252242337e-17,4.623800287407102e-16,0.8639300931603788,6.011029803686782e-16,5.313355133317814e-16,-0.36502386228096856,"[0.9341152432743686, -0.35697158469893264, 0.0]","[0.35697158469893264, 0.9341152432743686, 0.0]",-3.3836519142192444e-16,-5.053811668108354e-17,1.2535125735904562,-2.9803141150132327e-16,-1.6799518374702084e-16,0,-0.9474126651691802,6.011029803686782e-16,5.313355133317814e-16,-0.36502386228096856,1.9466638003520012e-15,-1.0246441620245386e-15,-0.9474126651691802,2.9033731681363105e-16,5.724835840380909e-16,9.11948810699606,-3.3836519142192444e-16,-5.053811668108354e-17,1.2535125735904562,-7.446789252242337e-17,4.623800287407102e-16,0.8639300931603788,"[-7.446789252242337e-17, 4.623800287407102e-16, 0.8639300931603788]",-7.446789252242337e-17,4.623800287407102e-16,0.8639300931603788,6.011029803686782e-16,5.313355133317814e-16,-0.36502386228096856,"[0.9341152432743686, -0.35697158469893264, 0.0]","[0.35697158469893264, 0.9341152432743686, 0.0]",-3.3836519142192444e-16,-5.053811668108354e-17,1.2535125735904562,-2.9803141150132327e-16,-1.6799518374702084e-16,0,-0.9474126651691802,6.011029803686782e-16,5.313355133317814e-16,-0.36502386228096856,1.9466638003520012e-15,-1.0246441620245386e-15,-0.9474126651691802,2.9033731681363105e-16,5.724835840380909e-16,9.11948810699606,-3.3836519142192444e-16,-5.053811668108354e-17,1.2535125735904562,-7.446789252242337e-17,4.623800287407102e-16,0.8639300931603788,False,57.46273883901902,130.91244926018098,50.72353356186885,0.0
3,2.848,0.032,2,,,False,2,,,False,"[-8.266362811420807e-17, 4.537458371863975e-16, 0.9033384312357174]",-8.266362811420807e-17,4.537458371863975e-16,0.9033384312357174,-0.014870248381857172,-0.0002083896883135199,-0.3971950626553953,"[0.9221496633203842, -0.3868332954104418, 0.0]","[0.3868332954104418, 0.9221496633203842, 0.0]",-2.5611673724327173e-16,-2.6981848607227195e-16,1.23151056485433,-1.3180318888960497e-16,-3.478875075667464e-16,0,-1.0054851632270059,-0.014870248381857172,-0.0002083896883135199,-0.3971950626553953,-0.4648085921898186,0.0009635069445125925,-1.0054851632270059,0.001901021836639335,-0.13564790516453284,9.121428451313095,-2.5611673724327173e-16,-2.6981848607227195e-16,1.23151056485433,-8.266362811420807e-17,4.537458371863975e-16,0.9033384312357174,"[-8.266362811420807e-17, 4.537458371863975e-16, 0.9033384312357174]",-8.266362811420807e-17,4.537458371863975e-16,0.9033384312357174,-0.014870248381857172,-0.0002083896883135199,-0.3971950626553953,"[0.9221496633203842, -0.3868332954104418, 0.0]","[0.3868332954104418, 0.9221496633203842, 0.0]",-2.5611673724327173e-16,-2.6981848607227195e-16,1.23151056485433,-1.3180318888960497e-16,-3.478875075667464e-16,0,-1.0054851632270059,-0.014870248381857172,-0.0002083896883135199,-0.3971950626553953,-0.4648085921898186,0.0009635069445125925,-1.0054851632270059,0.001901021836639335,-0.13564790516453284,9.121428451313095,-2.5611673724327173e-16,-2.6981848607227195e-16,1.23151056485433,-8.266362811420807e-17,4.537458371863975e-16,0.9033384312357174,False,53.31211275921795,0.0,54.306012967524374,120.02832856559323
4,2.88,0.032,2,,,False,2,,,False,"[5.193972140947014e-05, 0.00012884802972210809, 0.942042056873771]",5.193972140947014e-05,0.00012884802972210809,0.942042056873771,-0.029878290339799354,-0.0007101296437231326,-0.4310585408448975,"[0.9085239657339004, -0.4178327460685036, 0.0]","[0.4178327460685036, 0.9085239657339004, 0.0]",0.001623116294048525,0.0040265009288016984,1.209488301189173,-0.00020776388781231642,0.00433636373019698,0,-1.0584505062696525,-0.029878290339799354,-0.0007101296437231326,-0.4310585408448975,-0.4694961924886813,0.008002267477070682,-1.0584505062696525,-1.4956791903361459e-05,-0.137052551664862,9.12178354537521,0.001623116294048525,0.0040265009288016984,1.209488301189173,5.193972140947014e-05,0.00012884802972210809,0.942042056873771,"[5.193972140947014e-05, 0.00012884802972210809, 0.942042056873771]",5.193972140947014e-05,0.00012884802972210809,0.942042056873771,-0.029878290339799354,-0.0007101296437231326,-0.4310585408448975,"[0.9085239657339004, -0.4178327460685036, 0.0]","[0.4178327460685036, 0.9085239657339004, 0.0]",0.001623116294048525,0.0040265009288016984,1.209488301189173,-0.00020776388781231642,0.00433636373019698,0,-1.0584505062696525,-0.029878290339799354,-0.0007101296437231326,-0.4310585408448975,-0.4694961924886813,0.008002267477070682,-1.0584505062696525,-1.4956791903361459e-05,-0.137052551664862,9.12178354537521,0.001623116294048525,0.0040265009288016984,1.209488301189173,5.193972140947014e-05,0.00012884802972210809,0.942042056873771,False,53.713155829012976,52.07314901937431,53.35112002161988,50.99112683125854
5,2.912,0.032,2,,,False,2,,,False,"[0.00021298425709660338, 0.0005105882960117225, 0.9799130926928681]",0.00021298425709660338,0.0005105882960117225,0.9799130926928681,-0.046261133031333244,-0.0024321200825927263,-0.45655486666474043,"[0.8975766373293839, -0.4408584581478228, 0.0]","[0.4408584581478228, 0.8975766373293839, 0.0]",0.005032641740222913,0.011929383321550451,1.183469869346785,-0.0007419878877203039,0.012926218445175539,0,-0.798300358345645,-0.046261133031333244,-0.0024321200825927263,-0.45655486666474043,-0.5132272469444077,-0.023447293803213753,-0.798300358345645,0.008639674592086206,-0.1477046047672989,8.9997274631145,0.005032641740222913,0.011929383321550451,1.183469869346785,0.00021298425709660338,0.0005105882960117225,0.9799130926928681,"[0.00021298425709660338, 0.0005105882960117225, 0.9799130926928681]",0.00021298425709660338,0.0005105882960117225,0.9799130926928681,-0.046261133031333244,-0.0024321200825927263,-0.45655486666474043,"[0.8975766373293839, -0.4408584581478228, 0.0]","[0.4408584581478228, 0.8975766373293839, 0.0]",0.005032641740222913,0.011929383321550451,1.183469869346785,-0.0007419878877203039,0.012926218445175539,0,-0.798300358345645,-0.046261133031333244,-0.0024321200825927263,-0.45655486666474043,-0.5132272469444077,-0.023447293803213753,-0.798300358345645,0.008639674592086206,-0.1477046047672989,8.9997274631145,0.005032641740222913,0.011929383321550451,1.183469869346785,0.00021298425709660338,0.0005105882960117225,0.9799130926928681,False,52.62447007317682,51.92690817372828,53.94256937949797,50.64013127894651
6,2.944,0.032,2,,,False,2,,,False,"[0.0005388238309382923, 0.0012777279859867328, 1.0167803375241748]",0.0005388238309382923,0.0012777279859867328,1.0167803375241748,-0.05941868777604404,0.0024162482260749324,-0.4691470541893508,"[0.8919542512929796, -0.4521256612938269, 0.0]","[0.4521256612938269, 0.8919542512929796, 0.0]",0.01018248668255278,0.02397311531171907,1.1521014009783381,-0.0017565483283470528,0.025986685643989406,0,-0.38496917538696307,-0.05941868777604404,0.0024162482260749324,-0.4691470541893508,-0.4111826408017749,0.1720875406123854,-0.38496917538696307,-0.047955177712158945,-0.11659452324316144,8.838319057531605,0.01018248668255278,0.02397311531171907,1.1521014009783381,0.0005388238309382923,0.0012777279859867328,1.0167803375241748,"[0.0005388238309382923, 0.0012777279859867328, 1.0167803375241748]",0.0005388238309382923,0.0012777279859867328,1.0167803375241748,-0.05941868777604404,0.0024162482260749324,-0.4691470541893508,"[0.8919542512929796, -0.4521256612938269, 0.0]","[0.4521256612938269, 0.8919542512929796, 0.0]",0.01018248668255278,0.02397311531171907,1.1521014009783381,-0.0017565483283470528,0.025986685643989406,0,-0.38496917538696307,-0.05941868777604404,0.0024162482260749324,-0.4691470541893508,-0.4111826408017749,0.1720875406123854,-0.38496917538696307,-0.047955177712158945,-0.11659452324316144,8.838319057531605,0.01018248668255278,0.02397311531171907,1.1521014009783381,0.0005388238309382923,0.0012777279859867328,1.0167803375241748,False,51.9257885336117,51.82401804022344,54.217590706121435,50.31936119950969
7,2.976,0.032,2,,,False,2,,,False,"[0.0011232203489679256, 0.002507386291527929, 1.0525020511333372]",0.0011232203489679256,0.002507386291527929,1.0525020511333372,-0.06817245576775406,0.02151949031435642,-0.46741246955901644,"[0.8927371592743343, -0.4505778117604016, 0.0]","[0.4505778117604016, 0.8927371592743343, 0.0]",0.018262391188426045,0.03842682204816237,1.1163035502863223,-0.001010758160255254,0.04253368021441028,0,0.09215477070182922,-0.06817245576775406,0.02151949031435642,-0.46741246955901644,-0.27420575089023175,0.5923300828619096,0.09215477070182922,-0.16512611785495349,-0.0761459338080035,8.704808860713502,0.018262391188426045,0.03842682204816237,1.1163035502863223,0.0011232203489679256,0.002507386291527929,1.0525020511333372,"[0.0011232203489679256, 0.002507386291527929, 1.0525020511333372]",0.0011232203489679256,0.002507386291527929,1.0525020511333372,-0.06817245576775406,0.02151949031435642,-0.46741246955901644,"[0.8927371592743343, -0.4505778117604016, 0.0]","[0.4505778117604016, 0.8927371592743343, 0.0]",0.018262391188426045,0.03842682204816237,1.1163035502863223,-0.001010758160255254,0.04253368021441028,0,0.09215477070182922,-0.06817245576775406,0.02151949031435642,-0.46741246955901644,-0.27420575089023175,0.5923300828619096,0.09215477070182922,-0.16512611785495349,-0.0761459338080035,8.704808860713502,0.018262391188426045,0.03842682204816237,1.1163035502863223,0.0011232203489679256,0.002507386291527929,1.0525020511333372,False,51.56946071547046,51.74839122617389,53.89319524652114,50.36279976077457
8,3.008,0.032,2,,,False,2,,,False,"[0.0021478409988873086, 0.0041885851898778295, 1.0869852716326174]",0.0021478409988873086,0.0041885851898778295,1.0869852716326174,-0.07268031600415027,0.055567067282116044,-0.45306983096797365,"[0.8991075909419337, -0.43772770064343935, 0.0]","[0.43772770064343935, 0.8991075909419337, 0.0]",0.03201939530998073,0.05253746557343439,1.0776006406025056,0.005791777377480933,0.06125261039095656,0,0.5217164359794632,-0.07268031600415027,0.055567067282116044,-0.45306983096797365,-0.1581448764541919,1.0299338213409033,0.5217164359794632,-0.28444650475094974,-0.04124907977442549,8.617762942784426,0.03201939530998073,0.05253746557343439,1.0776006406025056,0.0021478409988873086,0.0041885851898778295,1.0869852716326174,"[0.0021478409988873086, 0.0041885851898778295, 1.0869852716326174]",0.0021478409988873086,0.0041885851898778295,1.0869852716326174,-0.07268031600415027,0.055567067282116044,-0.45306983096797365,"[0.8991075909419337, -0.43772770064343935, 0.0]","[0.43772770064343935, 0.8991075909419337, 0.0]",0.03201939530998073,0.05253746557343439,1.0776006406025056,0.005791777377480933,0.06125261039095656,0,0.5217164359794632,-0.07268031600415027,0.055567067282116044,-0.45306983096797365,-0.1581448764541919,1.0299338213409033,0.5217164359794632,-0.28444650475094974,-0.04124907977442549,8.617762942784426,0.03201939530998073,0.05253746557343439,1.0776006406025056,0.0021478409988873086,0.0041885851898778295,1.0869852716326174,False,51.31891716499493,51.78214675731091,52.952043164706566,50.915469235632756
9,3.04,0.032,2,,,False,2,,,False,"[0.0038883858116045794, 0.006229927995702104, 1.120161096967018]",0.0038883858116045794,0.006229927995702104,1.120161096967018,-0.07367283531024182,0.099436588782471,-0.43303477915753125,"[0.9076964550626216, -0.4196273888424707, 0.0]","[0.4196273888424707, 0.9076964550626216, 0.0]",0.05439202539741471,0.06379196268200857,1.036744541700018,0.022602593907521822,0.08072812197931671,0,0.7229624236444091,-0.07367283531024182,0.099436588782471,-0.43303477915753125,-0.0795045210784801,1.3218239193961776,0.7229624236444091,-0.36249820887503614,-0.017597987914749647,8.56137176490264,0.05439202539741471,0.06379196268200857,1.036744541700018,0.0038883858116045794,0.006229927995702104,1.120161096967018,"[0.0038883858116045794, 0.006229927995702104, 1.120161096967018]",0.0038883858116045794,0.006229927995702104,1.120161096967018,-0.07367283531024182,0.099436588782471,-0.43303477915753125,"[0.9076964550626216, -0.4196273888424707, 0.0]","[0.4196273888424707, 0.9076964550626216, 0.0]",0.05439202539741471,0.06379196268200857,1.036744541700018,0.022602593907521822,0.08072812197931671,0,0.7229624236444091,-0.07367283531024182,0.099436588782471,-0.43303477915753125,-0.0795045210784801,1.3218239193961776,0.7229624236444091,-0.36249820887503614,-0.017597987914749647,8.56137176490264,0.05439202539741471,0.06379196268200857,1.036744541700018,0.0038883858116045794,0.006229927995702104,1.120161096967018,False,51.691313975491866,51.51128211550798,51.88087001555131,51.375199180767765
